class,alpha,transform,category,relative_error,cosine_similarity
elephant,0.8,translation_y10,translation,0.012917875384157609,0.999916842522965
elephant,0.8,rotation_10,rotation,0.17659711270097594,0.9843745517777729
elephant,0.8,rotation_20,rotation,0.323338388684794,0.948188324516833
elephant,0.8,scale_0.8,scale,0.13513858424726138,0.9910506301521166
elephant,0.8,scale_1.2,scale,0.16777022271277242,0.9870078660252855
elephant,0.9,translation_x10,translation,0.009402954012468281,0.9999558125786264
elephant,0.9,translation_y10,translation,0.010169392889006642,0.9999483966326177
elephant,0.9,rotation_10,rotation,0.14177299968919238,0.9900562120500374
elephant,0.9,rotation_20,rotation,0.19952601726396219,0.9802141680683459
elephant,0.9,scale_0.8,scale,0.06048560854449297,0.9982319102684959
elephant,0.9,scale_1.2,scale,0.17486117382537983,0.9850533213993399
elephant,1.0,translation_x10,translation,0.007479607054731713,0.9999726611222443
elephant,1.0,translation_y10,translation,0.00839193437753364,0.9999655561704545
elephant,1.0,rotation_10,rotation,0.12014248745528397,0.9928187900153032
elephant,1.0,rotation_20,rotation,0.18820654652499083,0.9822593309611107
elephant,1.0,scale_0.8,scale,0.01684991365576842,0.9998615301600727
elephant,1.0,scale_1.2,scale,0.16060647781190515,0.9871834616901187
elephant,1.1,translation_x10,translation,0.007954235004879818,0.9999692973689938
elephant,1.1,translation_y10,translation,0.008787882913708682,0.9999625947850654
elephant,1.1,rotation_10,rotation,0.10753621614846516,0.9942366378852134
elephant,1.1,rotation_20,rotation,0.22044954869947284,0.9757790782393586
elephant,1.1,scale_0.8,scale,0.05814738836352425,0.9983386293289072
elephant,1.1,scale_1.2,scale,0.129274792874364,0.9917897918203439
elephant,1.2,translation_x10,translation,0.007543764452709979,0.9999719426977388
elephant,1.2,translation_y10,translation,0.008190700864405565,0.9999670167732341
elephant,1.2,rotation_10,rotation,0.09765689791318029,0.9952669432048187
elephant,1.2,rotation_20,rotation,0.19870766109531335,0.9804415570962103
elephant,1.2,scale_0.8,scale,0.10285127954767681,0.9947701286009627
elephant,1.2,scale_1.2,scale,0.13086615918047337,0.9916828365544075
elephant,1.3,translation_x10,translation,0.006652789618971252,0.999977965519218
elephant,1.3,translation_y10,translation,0.007102647049118263,0.9999748977901363
elephant,1.3,rotation_10,rotation,0.09483080972388007,0.9955393023615179
elephant,1.3,rotation_20,rotation,0.15623188478067868,0.9878561537877688
elephant,1.3,scale_0.8,scale,0.13544251926764617,0.991096534421147
elephant,1.3,scale_1.2,scale,0.14586341303468386,0.9897047558718151
elephant,1.4,translation_x10,translation,0.006177325568297128,0.9999810029252353
elephant,1.4,translation_y10,translation,0.006501055937059939,0.9999789017388307
elephant,1.4,rotation_10,rotation,0.08735684278631144,0.996191352925366
elephant,1.4,rotation_20,rotation,0.14169365783270377,0.9899505768001058
elephant,1.4,scale_0.8,scale,0.16833448982861124,0.9869436556359226
elephant,1.4,scale_1.2,scale,0.14357900085476902,0.990384479777906
elephant,1.5,translation_x10,translation,0.005835618695985462,0.9999833254541552
